m_ratio,m,landmark_seed,n_components_effective,elapsed_s,rel_frobenius_error,rel_spectral_error,max_diag_error,mean_diag_error,auc,spearman_corr,spearman_pval,score_gap,mean_healthy_score,mean_tumor_score
0.010000,300,42,300,163.350000,0.004473,0.000714,0.230959,0.067637,0.542686,0.999978,0.000000,32.766209,-173.083969,-140.317760
0.010000,300,123,300,195.490000,0.005100,0.000877,0.336039,0.078647,0.542590,0.999968,0.000000,32.714486,-173.058456,-140.343970
0.010000,300,7,300,174.570000,0.005158,0.001018,0.319456,0.078733,0.542609,0.999967,0.000000,32.725144,-173.106164,-140.381020
0.020000,600,42,600,352.330000,0.002272,0.000298,0.171309,0.037451,0.542688,0.999996,0.000000,32.754185,-173.011488,-140.257304
0.020000,600,123,600,296.250000,0.002987,0.000396,0.253042,0.052370,0.542693,0.999995,0.000000,32.763883,-173.035186,-140.271303
0.020000,600,7,600,346.310000,0.002974,0.000380,0.240703,0.052261,0.542683,0.999995,0.000000,32.757155,-172.950140,-140.192984
0.050000,1500,42,1500,794.240000,0.000483,0.000066,0.079772,0.006112,0.542689,1.000000,0.000000,32.750955,-173.073338,-140.322383
0.050000,1500,123,1500,794.010000,0.001182,0.000133,0.149035,0.022517,0.542680,1.000000,0.000000,32.745924,-173.068236,-140.322311
0.050000,1500,7,1500,777.210000,0.001192,0.000126,0.138730,0.022784,0.542683,1.000000,0.000000,32.745290,-172.932697,-140.187407
0.100000,3000,42,3000,1482.730000,0.000000,0.000000,0.000000,0.000000,0.542689,1.000000,0.000000,32.746538,-173.046577,-140.300039
0.100000,3000,123,3000,1514.880000,0.000387,0.000058,0.074789,0.007214,0.542690,1.000000,0.000000,32.745926,-173.018903,-140.272977
0.100000,3000,7,3000,1424.480000,0.000386,0.000057,0.073370,0.007189,0.542688,1.000000,0.000000,32.745795,-173.021021,-140.275227
